[1 0 0],"[1, 0, 0]",6,[1 0 0],False
[1 1 0],"[1, 0, 0]",2,[1 0 0],False
[1 0 0],"[0, 0, 1]",50,[0 0 0],False
[1 0 0],"[1, 0, 0]",25,[0 1 0],False
[0 0 0],"[0, 1, 0]",0,[0 0 0],False
[1 0 0],"[0, 1, 0]",-46,[1 1 0],False
[1 1 0],"[1, 0, 0]",4,[1 0 0],False
[1 1 0],"[1, 0, 0]",1,[1 0 0],False
[1 0 0],"[1, 0, 0]",9,[1 0 0],False
[1 0 0],"[1, 0, 0]",7,[0 0 0],False
[0 1 0],"[1, 0, 0]",-48,[1 1 0],False
[1 1 0],"[0, 1, 0]",25,[0 0 0],False
[0 0 0],"[1, 0, 0]",2,[0 1 0],False
[0 1 0],"[1, 0, 0]",952,[0 0 0],False
[1 0 0],"[1, 0, 0]",7,[1 0 0],False
[1 0 0],"[0, 0, 1]",-25,[1 0 0],False
[1 0 0],"[0, 0, 1]",-41,[1 1 0],False
[1 1 0],"[0, 0, 1]",-49,[1 0 0],False
[1 1 0],"[0, 0, 1]",-44,[1 0 0],False
[1 0 0],"[0, 0, 1]",-45,[0 1 0],False
[0 1 0],"[0, 0, 1]",-45,[1 0 0],False
[1 0 0],"[1, 0, 0]",9,[1 0 0],False
[1 1 0],"[1, 0, 0]",2,[0 0 0],False
[1 0 0],"[1, 0, 0]",7,[1 0 0],False
[1 0 0],"[1, 0, 0]",4,[0 1 0],False
[1 0 0],"[1, 0, 0]",8,[1 0 0],False
[1 0 0],"[1, 0, 0]",0,[1 0 0],False
[1 0 0],"[1, 0, 0]",25,[0 0 0],False
[0 0 0],"[0, 1, 0]",0,[0 0 0],False
[0 1 0],"[1, 0, 0]",-26,[0 0 0],False
[0 0 0],"[0, 1, 0]",5,[0 0 0],False
[0 0 0],"[1, 0, 0]",0,[0 0 0],False
[1 0 0],"[1, 0, 0]",4,[1 0 0],False
[1 0 0],"[0, 1, 0]",-25,[1 1 0],False
[1 1 0],"[1, 0, 0]",1,[0 0 0],False
[1 0 0],"[1, 0, 0]",25,[0 1 0],False
[0 1 0],"[1, 0, 0]",-25,[0 1 0],False
[0 1 0],"[1, 0, 0]",975,[0 0 0],False
[1 0 0],"[0, 0, 1]",50,[0 0 0],False
[1 1 0],"[1, 0, 0]",5,[1 0 0],False
[1 0 0],"[1, 0, 0]",0,[0 0 0],False
