1,Player-2,27
1,Player-2,44
2,Player-1,174
3,Player-1,219
4,Player-1,476
5,Player-1,105
6,Player-2,37
7,Player-1,79
8,Player-2,16
9,Player-2,60
10,Player-2,189
11,Player-2,15
12,Player-1,135
13,Player-2,45
14,Player-1,220
15,Player-2,66
16,Player-2,81
17,Player-1,25
18,Player-1,52
19,Player-1,66
20,Player-1,30
21,Player-2,15
22,Player-1,18
23,Player-2,21
1,Player-2,78
2,Player-1,103
3,Player-2,122
4,Player-2,74
5,Player-1,243
6,Player-1,67
7,Player-2,24
8,Player-1,20
9,Player-2,25
10,Player-2,83
11,Player-1,19
12,Player-2,17
1,Player-1,27
2,Player-1,172
3,Player-2,101
4,Player-2,31
5,Player-1,126
6,Player-2,223
7,Player-2,37
8,Player-2,26
9,Player-1,30
10,Player-1,280
11,Player-2,10
12,Player-2,156
13,Player-1,154
14,Player-2,224
15,Player-1,16
16,Player-2,119
17,Player-2,161
18,Player-1,81
19,Player-1,168
20,Player-1,192
21,Player-1,66
22,Player-2,101
23,Player-2,15
24,Player-2,99
25,Player-2,105
26,Player-1,35
27,Player-2,32
28,Player-1,74
29,Player-2,80
1,Player-2,64
2,Player-2,41
3,Player-2,61
4,Player-2,17
5,Player-1,45
6,Player-1,20
7,Player-1,51
8,Player-1,52
9,Player-2,49
10,Player-2,115
11,Player-1,28
12,Player-1,14
13,Player-1,24
14,Player-2,102
15,Player-1,58
16,Player-1,72
17,Player-2,147
18,Player-2,89
19,Player-1,35
20,Player-2,113
21,Player-2,81
22,Player-1,83
23,Player-2,68
24,Player-2,178
25,Player-2,74
26,Player-1,24
27,Player-2,131
28,Player-2,129
29,Player-2,194
30,Player-1,102
31,Player-2,69
32,Player-2,169
33,Player-1,95
34,Player-1,16
35,Player-1,37
36,Player-1,95
37,Player-2,78
38,Player-2,136
39,Player-2,130
40,Player-2,57
41,Player-1,86
42,Player-1,138
1,Player-1,37
2,Player-1,89
3,Player-1,21
4,Player-1,88
5,Player-2,22
6,Player-2,68
7,Player-2,44
8,Player-1,159
9,Player-2,71
10,Player-2,17
11,Player-1,93
12,Player-1,24
1,Player-1,68
2,Player-1,23
3,Player-2,125
4,Player-1,49
5,Player-2,84
6,Player-2,194
7,Player-2,18
8,Player-1,37
9,Player-1,28
10,Player-1,98
11,Player-1,12
12,Player-2,34
13,Player-1,26
14,Player-1,112
1,Player-2,87
2,Player-2,47
3,Player-2,17
4,Player-2,18
5,Player-1,48
6,Player-2,83
7,Player-2,61
8,Player-1,185
9,Player-1,41
10,Player-2,34
11,Player-1,167
12,Player-1,83
13,Player-1,72
14,Player-1,38
15,Player-2,47
16,Player-1,67
17,Player-1,69
18,Player-1,34
19,Player-1,154
20,Player-2,34
21,Player-2,53
22,Player-2,32
23,Player-2,127
24,Player-1,36
25,Player-2,88
26,Player-1,118
27,Player-2,133
28,Player-2,81
1,Player-2,17
2,Player-2,19
3,Player-2,142
4,Player-2,52
5,Player-2,17
6,Player-1,32
7,Player-1,116
8,Player-1,31
9,Player-2,37
10,Player-1,144
11,Player-2,51
12,Player-2,184
13,Player-2,49
14,Player-1,83
15,Player-2,273
16,Player-1,104
17,Player-1,57
18,Player-2,17
19,Player-2,239
20,Player-1,62
21,Player-2,161
22,Player-2,82
23,Player-2,27
24,Player-2,48
25,Player-1,100
26,Player-2,38
27,Player-1,18
28,Player-2,40
29,Player-2,224
30,Player-2,29
31,Player-1,63
32,Player-1,105
33,Player-2,122
34,Player-2,121
35,Player-2,119
36,Player-1,143
37,Player-1,22
38,Player-1,96
39,Player-2,50
40,Player-1,116
41,Player-2,24
42,Player-2,14
43,Player-2,42
44,Player-2,35
1,Player-1,26
2,Player-2,93
3,Player-2,86
4,Player-1,139
5,Player-1,129
6,Player-2,23
7,Player-2,92
8,Player-1,85
9,Player-1,246
10,Player-1,59
11,Player-1,93
12,Player-1,128
13,Player-2,184
14,Player-2,53
15,Player-1,109
16,Player-2,99
17,Player-2,37
18,Player-2,34
19,Player-2,33
20,Player-2,62
21,Player-2,136
22,Player-2,237
23,Player-1,40
24,Player-2,86
25,Player-1,52
26,Player-1,47
27,Player-2,17
28,Player-2,69
29,Player-1,24
30,Player-2,26
31,Player-2,80
32,Player-2,98
33,Player-1,22
34,Player-1,38
35,Player-2,137
36,Player-2,39
37,Player-2,35
38,Player-2,13
39,Player-1,96
40,Player-2,30
41,Player-1,43
42,Player-1,93
43,Player-1,156
44,Player-1,48
45,Player-2,109
46,Player-2,52
47,Player-2,202
48,Player-2,108
49,Player-1,42
50,Player-2,98
51,Player-1,35
52,Player-1,36
53,Player-1,76
54,Player-2,45
55,Player-1,37
56,Player-2,16
57,Player-1,146
58,Player-1,35
59,Player-1,187
60,Player-2,27
61,Player-1,55
62,Player-2,13
63,Player-2,64
64,Player-2,107
65,Player-2,41
66,Player-2,32
